公司名稱,職缺名稱,徵才網址,薪水區間
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,IT資料倉儲工程師_Corp. IT (orp. IT (內湖),http://www.104.com.tw/job/6u8rr?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
撼訊科技股份有限公司,資料庫程式工程師,http://www.104.com.tw/job/6iizf?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,軟體設計資深工程師(資料分析)_數位製造平台(桃三),http://www.104.com.tw/job/71rd7?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
國泰金控_國泰金融控股股份有限公司,"資料科學工程師（Python 後端研發）-- 資料科學實驗室  (數數發中心, DDT)",http://www.104.com.tw/job/6k5ft?jobsource=2018indexpoc,"月薪 30,000~90,000元"
新普科技股份有限公司,A1 駐外資料庫管理工程師,http://www.104.com.tw/job/6rg8y?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
博晶醫電股份有限公司,資深資料科學演算法工程師 (Senior Data Science Algorithm Engineer),http://www.104.com.tw/job/69990?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
悠遊卡股份有限公司,資料庫工程師,http://www.104.com.tw/job/6vf7l?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
大牛科技有限公司,資料庫工程師,http://www.104.com.tw/job/6n48w?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣光罩股份有限公司,資料處理工程師,http://www.104.com.tw/job/6uyrj?jobsource=2018indexpoc,"月薪 32,000~45,000元"
樂天國際商業銀行股份有限公司,樂天銀行(純網銀)_[伺服器、網路、資料庫] 管理工程師,http://www.104.com.tw/job/711lo?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
中佑資訊有限公司,資料庫工程師,http://www.104.com.tw/job/6sgvn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
簡單行動支付股份有限公司,資料庫工程師,http://www.104.com.tw/job/41rjd?jobsource=2018indexpoc,"月薪 30,000~100,000元"
